date,shopId,productId,title,category,rank,price_min,stock,sold_total,returned_total,ret_pct,rating,reviews,viewers,conversion,roi,status,moderation,sku_count,clicks,commission,avgdsales,turnover,filters_ok,all_filters,promo_in,promo_rec,promo_price,promo_name,illiquid,image
2026-07-22,112728,2658806,ДЕРЖАТЕЛЬДЛЯКРЫШЕК,Oshxona qurollari uchun podstavkalar,A,57000,34,46,4,8.0,5.0,4,1057,4.07,-100.0,IN_STOCK,ON_MODERATION,4,,25.0,1.3,15.0,1,0,4,0,,,0,https://images.uzum.uz/d7sp6mrsv8vo2t0c18f0/t_product_80_low.jpg
2026-07-22,112728,2659116,РАЗДЕЛИТЕЛЬОДЕЖДЫ,Organayzerlar va ajratuvchilar,B,85000,0,2,0,0.0,0.0,0,246,0.41,-88.88113219521483,ARCHIVED,ON_MODERATION,4,,27.0,,,0,1,0,0,,,0,https://images.uzum.uz/d7spi6k9g1ktqmlk4dt0/t_product_80_low.jpg
2026-07-22,112728,2659219,ДУРШЛАГРИС,Chovli va elak,D,32000,38,2,0,0.0,0.0,0,58,3.45,-100.0,IN_STOCK,MODERATED,2,,25.0,0.0,,1,1,2,0,,,0,https://images.uzum.uz/d7spq4c9g1ktqmlk4ilg/t_product_80_low.jpg
2026-07-22,112728,2661453,ДУРШЛАГСЛОН,Chovli va elak,C,50000,90,0,1,100.0,0.0,0,64,1.56,-100.0,IN_STOCK,MODERATED,3,,25.0,0.0,,1,1,3,0,,,0,https://images.uzum.uz/d7sqf63sv8vo2t0c2090/t_product_80_low.jpg
2026-07-22,112728,2661858,ПАКЕТЫДЛЯКРУП,Sochiluvchan mahsulotlar uchun idishlar,D,75000,30,0,0,0.0,0.0,0,90,0.0,-100.0,IN_STOCK,MODERATED,4,,25.0,0.0,,0,0,4,0,,,0,https://images.uzum.uz/d7sr1p3sv8vo2t0c2dh0/t_product_80_low.jpg
2026-07-22,112728,2662663,ШАПАЧКИМИШКИ,Qayta foydalanish mumkin boʻlgan paketlar va qopchalar,D,18000,115,5,0,0.0,0.0,0,55,5.45,-100.0,IN_STOCK,MODERATED,4,,25.0,0.3,145.0,0,0,4,0,,,0,https://images.uzum.uz/d7t2u23sv8vo2t0c7q6g/t_product_80_low.jpg
2026-07-22,112728,2662882,ШТАНГАСКЛАДНАЯ,Pardalar va karnizlar,A,450000,0,10,4,28.6,5.0,1,1460,0.89,-100.0,RUN_OUT,ON_MODERATION,2,,20.0,,,1,1,0,0,,,0,https://images.uzum.uz/d7ouuhbsv8vo2t0afu10/t_product_80_low.jpg
2026-07-22,112728,2663193,ШАПОЧКИЦЫАЛЯТА,Qayta foydalanish mumkin boʻlgan paketlar va qopchalar,D,65000,164,7,0,0.0,0.0,0,179,3.35,-92.51617682302447,IN_STOCK,ON_MODERATION,2,,25.0,0.3,289.0,0,0,2,0,,,0,https://images.uzum.uz/d7oh7hq1146tv06rtrl0/t_product_80_low.jpg
2026-07-22,112728,2663965,ЕРШИКИНАБОР,Unitaz choʻtkalari,A,91000,3,35,11,23.9,4.7,6,1001,4.0,-100.0,IN_STOCK,ON_MODERATION,2,,20.0,0.7,15.0,1,1,2,0,,,0,https://images.uzum.uz/d7h40743obpkks10a3r0/t_product_80_low.jpg
2026-07-22,112728,2667097,ЕРШИКСМЕННЫЙ,Unitaz choʻtkalari,B,100000,0,5,2,28.6,0.0,0,292,2.4,-100.0,ARCHIVED,ON_MODERATION,6,,20.0,0.0,,0,1,0,0,,,0,https://images.uzum.uz/d7hlj9jsv8vghom17m20/t_product_80_low.jpg
2026-07-22,112728,2667399,СМЕННЫЕНАСАДКИДЛЯЕРШИКОВ,Unitaz choʻtkalari,A,30000,0,35,0,0.0,5.0,2,405,7.65,-78.95231383603476,ARCHIVED,ON_MODERATION,9,,20.0,,,0,1,0,9,29700,08.06-16.06 Летняя распродажа неделя 4/Yozgi chegirmalar haf,0,https://images.uzum.uz/d7hmhbs3obpkks10gt8g/t_product_80_low.jpg
2026-07-22,112728,2667982,АПТЕЧКИДЛЯДОМАОРГАН,Dori-darmonlar uchun dori qutilari va sumkalar,D,160000,0,0,1,100.0,0.0,0,290,0.34,-100.0,ARCHIVED,ON_MODERATION,4,,30.0,,,0,1,0,0,,,0,https://images.uzum.uz/d7phrq49g1ktqmliqs20/t_product_80_low.jpg
2026-07-22,112728,2828345,ТРЯПКАМИКРОФИБРА,"Lattalar, salfetkalar va gubkalar",D,45000,0,4,3,42.9,5.0,1,115,4.35,-100.0,ARCHIVED,ON_MODERATION,4,,20.0,,,0,1,0,4,44550,08.06-16.06 Летняя распродажа неделя 4/Yozgi chegirmalar haf,0,https://images.uzum.uz/d860rva1146tv071ct7g/t_product_80_low.jpg
2026-07-22,112728,2842914,ВИДЕОГЛАЗОК,Video ko‘zchalar,D,805000,2,3,1,25.0,0.0,0,1176,0.34,11.566197183098591,IN_STOCK,MODERATED,1,,18.0,0.2,18.0,1,1,1,0,,,0,https://images.uzum.uz/d88lmec9g1ktqmloues0/t_product_80_low.jpg
2026-07-22,112728,2842983,ВЫДВЕЖНОЙЯЩИК,Oshxona tokchalari,D,93500,18,2,0,0.0,0.0,0,53,1.89,-83.30357142857143,IN_STOCK,MODERATED,1,,25.0,0.1,195.0,0,1,1,0,,,0,https://images.uzum.uz/d88m3q49g1ktqmloukh0/t_product_80_low.jpg
2026-07-22,112728,2843053,ГУБКИ,"Lattalar, salfetkalar va gubkalar",B,65500,359,41,2,4.7,4.8,5,785,4.97,-75.87488636363636,IN_STOCK,ON_MODERATION,4,,20.0,2.2,65.0,0,0,4,0,,,0,https://images.uzum.uz/d8r540a1146phmqe5bgg/t_product_80_low.jpg
2026-07-22,112728,2843128,РЕБРИСТЫЕГУБКИ,"Lattalar, salfetkalar va gubkalar",B,27500,22,57,5,8.1,5.0,2,571,9.81,1.606055880977108,IN_STOCK,MODERATED,6,,20.0,0.7,24.0,0,1,6,0,,,0,https://images.uzum.uz/d88mpv49g1ktqmlov1og/t_product_80_low.jpg
2026-07-22,112728,2843158,ДЕРЖАТЕЛЬГУБОК,Tagkursi va tutqichlar,D,53300,31,9,0,0.0,5.0,1,108,6.48,-61.726063829787236,IN_STOCK,MODERATED,2,,25.0,0.5,61.0,0,1,2,0,,,0,https://images.uzum.uz/d88mv1c9g1ktqmlov53g/t_product_80_low.jpg
2026-07-22,112728,2843255,ДОРОГОЙДИФФУЗОР,Uy uchun iforlar,D,125000,50,10,3,23.1,0.0,0,148,8.78,-71.92310231023102,IN_STOCK,MODERATED,4,,27.0,0.6,40.0,1,1,4,0,,,0,https://images.uzum.uz/d88nc849g1ktqmlovd10/t_product_80_low.jpg
2026-07-22,112728,2843333,НАТУРАЛЬНЫЙДИФ,Uy uchun iforlar,B,155000,67,7,4,36.4,0.0,0,86,4.65,-75.45914465408805,IN_STOCK,MODERATED,5,,27.0,0.5,33.0,1,1,5,0,,,0,https://images.uzum.uz/d88nm43sv8vo2t0gsvd0/t_product_80_low.jpg
2026-07-22,112728,2843402,КОРТРЯПКА,"Lattalar, salfetkalar va gubkalar",D,55000,30,8,1,11.1,0.0,0,247,3.24,-63.5959595959596,IN_STOCK,MODERATED,4,,20.0,0.4,46.0,0,0,4,0,,,0,https://images.uzum.uz/d88nuvi1146tv072fot0/t_product_80_low.jpg
2026-07-22,112728,2843463,КРЫШКАОТБРЫЗГОВ,Idishlar uchun qopqoqlar,D,68000,34,6,0,0.0,0.0,0,182,2.2,-77.978,IN_STOCK,ON_MODERATION,2,,22.0,0.2,189.0,0,1,2,0,,,0,https://images.uzum.uz/d88o82rsv8vo2t0gtas0/t_product_80_low.jpg
2026-07-22,112728,2843588,ВАКУУМКРЮЧ,Ilgaklar va tutqichlar,D,57000,92,0,0,0.0,0.0,0,61,0.0,-100.0,IN_STOCK,MODERATED,14,,20.0,0.0,,0,1,14,0,,,0,https://images.uzum.uz/d88og9a1146tv072g39g/t_product_80_low.jpg
2026-07-22,112728,2843897,МАСКАОЧИСТКАПОСУДЫ,"Lattalar, salfetkalar va gubkalar",D,57300,33,2,0,0.0,0.0,0,52,3.85,-86.21353383458647,IN_STOCK,MODERATED,1,,20.0,0.1,330.0,0,0,1,0,,,0,https://images.uzum.uz/d88pg349g1ktqmlp0qrg/t_product_80_low.jpg
2026-07-22,112728,2844006,НОСИКЗЕЛЕНЫЙ,Voronkalar,B,35500,19,7,0,0.0,5.0,2,202,3.47,-6.905594405594406,IN_STOCK,MODERATED,1,,25.0,0.1,197.0,1,0,1,0,,,0,https://images.uzum.uz/d88pt1s9g1ktqmlp13vg/t_product_80_low.jpg
2026-07-22,112728,2844104,ОРГАНПОЛЕТОК,Organayzerlar va ajratuvchilar,B,50300,32,8,4,33.3,0.0,0,155,6.45,-57.537696335078536,IN_STOCK,MODERATED,2,,27.0,0.2,156.0,1,0,2,0,,,0,https://images.uzum.uz/d88q70i1146tv072ha00/t_product_80_low.jpg
2026-07-22,112728,2845895,ПЕНАДЛЯОБУВИ,Poyabzal uchun koʻpikli tozalash vositalari,B,60100,28,8,0,0.0,4.0,1,95,6.32,-62.69004192872117,IN_STOCK,MODERATED,1,,18.5,0.1,290.0,1,1,1,0,,,0,https://images.uzum.uz/d89adp49g1ktqmlp5lig/t_product_80_low.jpg
2026-07-22,112728,2845956,ПЛАСТИНЫДЛЯСТИРКИ,Kir yuvish uchun gel va suyuqliklar,A,60000,0,30,4,11.8,5.0,3,271,11.81,154.47471910112358,RUN_OUT,MODERATED,1,,15.0,,,1,1,0,0,,,0,https://images.uzum.uz/d954jrq1146phmqie6v0/t_product_80_low.jpg
2026-07-22,112728,2845985,ДЕРЖАТЕЛЬКРЫШКИ,Oshxona qurollari uchun podstavkalar,D,73500,18,1,1,50.0,0.0,0,42,4.76,-93.59011627906976,IN_STOCK,MODERATED,1,,25.0,0.1,191.0,1,1,1,0,,,0,https://images.uzum.uz/d89aql49g1ktqmlp5rkg/t_product_80_low.jpg
2026-07-22,112728,2846046,ПОДЪЕМДЛЯУНИТАЗА,Unitaz uchun oʻrindiq,D,63500,22,8,0,0.0,0.0,0,180,2.22,-2.508158508158508,IN_STOCK,MODERATED,2,,20.0,0.4,30.0,1,1,2,0,,,0,https://images.uzum.uz/d89b20a1146tv072lud0/t_product_80_low.jpg
2026-07-22,112728,2846118,ПОЛКА,Devor tokchalari,B,107000,35,5,0,0.0,0.0,0,191,1.57,-77.23514851485149,IN_STOCK,MODERATED,2,,15.0,0.0,,1,1,2,0,,,0,https://images.uzum.uz/d89bd0a1146tv072m3p0/t_product_80_low.jpg
2026-07-22,112728,2846160,РИСОМОЙКА950МЛ,Chovli va elak,D,71000,20,0,0,0.0,0.0,0,43,0.0,-100.0,IN_STOCK,MODERATED,1,,25.0,0.0,,1,1,1,0,,,0,https://images.uzum.uz/d89bi9k9g1ktqmlp675g/t_product_80_low.jpg
2026-07-22,112728,2846206,САЛФЕТКИАНТИЖИР3ВИДА,"Lattalar, salfetkalar va gubkalar",D,56000,20,2,0,0.0,0.0,0,29,6.9,-94.13333333333334,IN_STOCK,MODERATED,3,,20.0,0.1,76.0,0,0,3,0,,,0,https://images.uzum.uz/d89bn4jsv8vo2t0h3k40/t_product_80_low.jpg
2026-07-22,112728,2846266,САЛФЕТКИНАЦ,Kiyimlarni yuvish uchun rang tuzoqlari,D,45500,21,3,1,25.0,4.0,1,89,4.49,-82.528,IN_STOCK,MODERATED,1,,20.0,0.1,215.0,1,1,1,0,,,0,https://images.uzum.uz/d89c1bc9g1ktqmlp6dcg/t_product_80_low.jpg
2026-07-22,112728,2847242,САЛФЕТКИДЛЯЕДЫ,"Lattalar, salfetkalar va gubkalar",D,57500,32,3,0,0.0,0.0,0,42,7.14,-81.065780730897,IN_STOCK,MODERATED,1,,20.0,0.1,321.0,0,1,1,0,,,0,https://images.uzum.uz/d89fh1q1146tv072oefg/t_product_80_low.jpg
2026-07-22,112728,2847309,САЛФЕТКИПЯТНОВЫВОДИТЕЛЬ,"Lattalar, salfetkalar va gubkalar",A,23000,0,70,11,13.6,4.8,5,643,10.73,24.505785819482433,RUN_OUT,MODERATED,2,,20.0,,,0,0,2,0,,,0,https://images.uzum.uz/d89foms9g1ktqmlp8kvg/t_product_80_low.jpg
2026-07-22,112728,2847387,СТИКЕРДЛЯОБУВИ,Oyoq uchun dezodorantlar va spreylar,D,32000,57,3,0,0.0,0.0,0,39,7.69,-91.58974358974359,IN_STOCK,MODERATED,1,,18.0,0.1,585.0,0,0,1,0,,,0,https://images.uzum.uz/d89g42a1146tv072opj0/t_product_80_low.jpg
2026-07-22,112728,2847468,АППАРАТСЕТКА,Idish yuvish uchun buyumlar,B,47000,164,6,3,33.3,3.0,2,822,0.97,-92.759108040201,IN_STOCK,MODERATED,4,,25.0,0.3,239.0,0,0,4,0,,,0,https://images.uzum.uz/d89gbq3sv8vo2t0h68og/t_product_80_low.jpg
